Tip_phy,Infraclass,type,Diet3,Lingual,Omnivorous,Carnivorous,Folivorousbrowser,Mixed_feeder,Tuberivorous,Grazer,Frugivorous,Insectivorous
Cryptomys_hottentotus,Eutheria,Extant,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Cryptonanus_chacoensis,Metatheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Ctenomys_knighti,Eutheria,Extant,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Cynocephalus_volans,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Dactylopsila_trivirgata,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Dasyurus_geoffroii,Metatheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Daubentonia_madagascariensis,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Dendrolagus_matschiei,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Diceratherium_cooki,Eutheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Diceros_bicornis,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Diprotodon_optatum,Metatheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Distoechurus_pennatus,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Dorcopsis_muelleri,Metatheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Dorcopsulus_vanheurni,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Dromiciops_gliroides,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Echinops_telfairi,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Echinosorex_gymnura,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Echymipera_kalubu,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Elephas_maximus,Eutheria,Extant,Mixed_feeder,nostate,nostate,nostate,nostate,Mixed_feeder,nostate,nostate,nostate,nostate
Enhydra_lutris,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Epigaulus_hatcheri,Eutheria,Fossil,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Equus_ferus,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Fossa_fossana,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Otolemur_crassicaudatus,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Galidia_elegans,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Giraffa_camelopardalis,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Glironia_venusta,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Glossotherium_robustum,Eutheria,Fossil,Mixed_feeder,nostate,nostate,nostate,nostate,Mixed_feeder,nostate,nostate,nostate,nostate
Pan_troglodytes,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Gracilinanus_agilis,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Hapalemur_griseus,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Haplolambda_quinni,Eutheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Helaletes_nanus,Eutheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Hippotragus_equinus,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Hylobates_lar,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Hypsiprymnodon_moschatus,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Hyracodon_nebraskensis,Eutheria,Fossil,Mixed_feeder,nostate,nostate,nostate,nostate,Mixed_feeder,nostate,nostate,nostate,nostate
Hystrix_cristata,Eutheria,Extant,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Indri_indri,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Isoodon_macrourus,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Kannabateomys_amblyonyx,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Kobus_ellipsiprymnus,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Lama_glama,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Lemur_catta,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Leontopithecus_rosalia,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Lepilemur_microdon,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Leptictis_sp,Eutheria,Fossil,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Lestodelphys_halli,Metatheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Loris_tardigradus,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Lutreolina_crassicaudata,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Macropus_rufus,Metatheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Macroscelides_proboscideus,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Macrotis_lagotis,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Manis_javanica,Eutheria,Extant,Lingual_feeding,Lingual_feeding,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Marmosa_robinsoni,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Marmosops_parvidens,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Mephitis_mephitis,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Mesohippus_baird,Eutheria,Fossil,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
